sample_id	condition	group_id
20250310_Stem_H1_AAVS1_5	H1_AAVS1	H1
20250310_Stem_H1_AAVS1_6	H1_AAVS1	H1
20250310_Stem_H1_AAVS1_8	H1_AAVS1	H1
20250310_Stem_H1_CLYBL_5	H1_CLYBL	H1
20250310_Stem_H1_CLYBL_7	H1_CLYBL	H1
20250310_Stem_H1_CLYBL_8	H1_CLYBL	H1
20250310_Stem_H1_LSR_5	H1_LSR	H1
20250310_Stem_H1_LSR_7	H1_LSR	H1
20250310_Stem_H1_LSR_8	H1_LSR	H1
20250310_Stem_H1_NEBL_G1_5	H1_NEBL_G1	H1
20250310_Stem_H1_NEBL_G1_6	H1_NEBL_G1	H1
20250310_Stem_H1_NEBL_G1_7	H1_NEBL_G1	H1
20250310_Stem_H1_NEBL_G1_8	H1_NEBL_G1	H1
20250310_Stem_H1_NEBL_G2_5	H1_NEBL_G2	H1
20250310_Stem_H1_NEBL_G2_7	H1_NEBL_G2	H1
20250310_Stem_H1_NEBL_G2_8	H1_NEBL_G2	H1
20250310_Stem_H1_WT_1	H1_WT	H1
20250310_Stem_H1_WT_2	H1_WT	H1
20250310_Stem_H1_WT_3	H1_WT	H1
20250310_Stem_H1_WT_4	H1_WT	H1
20250310_Stem_KOLF_AAVS1_1-1	KOLF_AAVS1	KOLF
20250310_Stem_KOLF_AAVS1_3	KOLF_AAVS1	KOLF
20250310_Stem_KOLF_CLYBL_1	KOLF_CLYBL	KOLF
20250310_Stem_KOLF_CLYBL_1_rep2	KOLF_CLYBL	KOLF
20250310_Stem_KOLF_CLYBL_2	KOLF_CLYBL	KOLF
20250310_Stem_KOLF_CLYBL_5	KOLF_CLYBL	KOLF
20250310_Stem_KOLF_LSR_3	KOLF_LSR	KOLF
20250310_Stem_KOLF_LSR_4	KOLF_LSR	KOLF
20250310_Stem_KOLF_LSR_5	KOLF_LSR	KOLF
20250310_Stem_KOLF_NEBL_G1_1	KOLF_NEBL_G1	KOLF
20250310_Stem_KOLF_NEBL_G1_2	KOLF_NEBL_G1	KOLF
20250310_Stem_KOLF_NEBL_G1_3	KOLF_NEBL_G1	KOLF
20250310_Stem_KOLF_NEBL_G2_2	KOLF_NEBL_G2	KOLF
20250310_Stem_KOLF_WT_1	KOLF_WT	KOLF
20250310_Stem_KOLF_WT_2	KOLF_WT	KOLF
20250310_Stem_KOLF_WT_3	KOLF_WT	KOLF
20250310_Stem_KOLF_WT_4	KOLF_WT	KOLF
20250310_Stem_WTC_AAVS1_1-2	WTC_AAVS1	WTC
20250310_Stem_WTC_AAVS1_2-2	WTC_AAVS1	WTC
20250310_Stem_WTC_AAVS1_5	WTC_AAVS1	WTC
20250310_Stem_WTC_CLYBL_1	WTC_CLYBL	WTC
20250310_Stem_WTC_CLYBL_2	WTC_CLYBL	WTC
20250310_Stem_WTC_CLYBL_3	WTC_CLYBL	WTC
20250310_Stem_WTC_LSR_2	WTC_LSR	WTC
20250310_Stem_WTC_LSR_3	WTC_LSR	WTC
20250310_Stem_WTC_LSR_5	WTC_LSR	WTC
20250310_Stem_WTC_NEBL_G1_1	WTC_NEBL_G1	WTC
20250310_Stem_WTC_NEBL_G1_2-2	WTC_NEBL_G1	WTC
20250310_Stem_WTC_NEBL_G2_2	WTC_NEBL_G2	WTC
20250310_Stem_WTC_WT_1	WTC_WT	WTC
20250310_Stem_WTC_WT_2	WTC_WT	WTC
20250310_Stem_WTC_WT_3	WTC_WT	WTC
20250310_Stem_WTC_WT_4	WTC_WT	WTC
